Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C17, C18, C20, C21, C26, C6, C7, C9",402,15,100n,
"C16, C8",402,2,1u,
"C19, C22, C4, C5",805,4,10u,
"C2, C3",402,2,15p,
"C23, C24",402,2,22p,
C25,402,1,10n,
D1,ESDS314BVR_SOT95P280X145-5N,1,ESDS314DBVR,
IC1,PSA45043,1,PSA4-5043+,
IC2,ADE-11X+_SOTFL254P691X284-6N,1,ADE-11X+,
IC3,SI5351_SOP50P490X110-10N,1,SI5351A-B-GTR,
IC4,GALI5,1,GALI-84+,
IC5,ADCS7476_SOT95P280X145-6N,1,ADCS7476AIMFX_NOPB,
J1,SMA_Amphenol_132289_EdgeMount,1,Conn_Coaxial_Small,
J2,USB_A_Connfly_DS1098_Horizontal,1,USB_A,
"L1, L2",805,2,220n,
"L3, L4",805,2,15u,
"R1, R7",402,2,10k,
"R2, R3",402,2,27,
"R4, R5",402,2,1k,
R6,402,1,50,
SW1,SW_SPST_PTS810,1,SW_Push,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U3,SOT-89-3,1,AMS1117S-3.3,
"Y1, Y2",Crystal_SMD_3225-4Pin_3.2x2.5mm,2,Crystal_GND24,
